City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,Batagay-Alyta,RU,2021-04-03 02:50:01,67.8006,130.4114,-0.72,83,100,11.56
284,Uspenka,UA,2021-04-03 02:50:01,48.3903,39.1619,43.39,88,75,13.27
285,Sterling,US,2021-04-03 02:50:01,39.0062,-77.4286,39.2,33,1,9.22
286,Shitanjing,CN,2021-04-03 02:50:02,39.2342,106.3439,43.66,32,100,10.96
287,Abu Dhabi,AE,2021-04-03 02:43:38,24.4667,54.3667,75.2,64,2,2.3
288,Cabo San Lucas,MX,2021-04-03 02:38:49,22.8909,-109.9124,77.0,38,40,9.4
289,Zhigansk,RU,2021-04-03 02:50:02,66.7697,123.3711,-2.92,86,100,8.19
290,Laurens,US,2021-04-03 02:50:02,32.4502,-82.9165,41.0,93,1,4.99
291,Jussara,BR,2021-04-03 02:50:02,-23.6214,-52.4694,63.54,72,3,4.76
292,Beidao,CN,2021-04-03 02:50:03,34.5686,105.8933,45.7,86,100,1.83
